Style,IdiomName,FileName,Color,Marker,CommitID
npi,file-reading-statement,flask.py,red,square,3876
pi,file-reading-statement,minitwit.py,green,square,3876
pi,if-statement,minitwit.py,green,hex,3876
pi,if-statement,minitwit.py,green,hex,3876
npi,file-reading-statement,flask.py,red,square,3877
pi,file-reading-statement,minitwit.py,green,square,3877
pi,if-statement,minitwit.py,green,hex,3877
pi,if-statement,minitwit.py,green,hex,3877
npi,file-reading-statement,flask.py,red,square,3878
pi,file-reading-statement,minitwit.py,green,square,3878
pi,if-statement,minitwit.py,green,hex,3878
pi,if-statement,minitwit.py,green,hex,3878
npi,file-reading-statement,flask.py,red,square,3879
pi,file-reading-statement,minitwit.py,green,square,3879
pi,if-statement,minitwit.py,green,hex,3879
pi,if-statement,minitwit.py,green,hex,3879
npi,file-reading-statement,flask.py,red,square,3880
pi,file-reading-statement,minitwit.py,green,square,3880
pi,if-statement,minitwit.py,green,hex,3880
pi,if-statement,minitwit.py,green,hex,3880
npi,file-reading-statement,flask.py,red,square,3881
pi,file-reading-statement,minitwit.py,green,square,3881
pi,if-statement,minitwit.py,green,hex,3881
pi,if-statement,minitwit.py,green,hex,3881
npi,file-reading-statement,flask.py,red,square,3882
pi,file-reading-statement,minitwit.py,green,square,3882
pi,if-statement,minitwit.py,green,hex,3882
pi,if-statement,minitwit.py,green,hex,3882
npi,file-reading-statement,flask.py,red,square,3883
pi,file-reading-statement,minitwit.py,green,square,3883
pi,if-statement,minitwit.py,green,hex,3883
pi,if-statement,minitwit.py,green,hex,3883
npi,file-reading-statement,flask.py,red,square,3884
pi,file-reading-statement,minitwit.py,green,square,3884
pi,if-statement,minitwit.py,green,hex,3884
pi,if-statement,minitwit.py,green,hex,3884
npi,file-reading-statement,flask.py,red,square,3885
pi,file-reading-statement,minitwit.py,green,square,3885
pi,if-statement,minitwit.py,green,hex,3885
pi,if-statement,minitwit.py,green,hex,3885
npi,file-reading-statement,flask.py,red,square,3886
pi,file-reading-statement,minitwit.py,green,square,3886
pi,if-statement,minitwit.py,green,hex,3886
pi,if-statement,minitwit.py,green,hex,3886
npi,file-reading-statement,flask.py,red,square,3887
pi,file-reading-statement,minitwit.py,green,square,3887
pi,if-statement,minitwit.py,green,hex,3887
pi,if-statement,minitwit.py,green,hex,3887
